date,date_source,cause,location,park_scope,names,age_gender,summary,source_count,source_urls,merged_from,merge_basis,flags,possible_duplicate_of_seed,model_dates
2005-09-08,url-path,Bear Attack,Missinaibi Lake Provincial Park,provincial-park,Dr. Jacqueline Perry,30,Dr. Jacqueline Perry was killed and Marc Jordan injured in a bear attack at a remote campsite in Missinaibi Lake Provincial Park.,1,https://www.orlandosentinel.com/2005/09/08/woman-dead-man-injured-in-bear-attack-in-canada/,1,,location-unconfirmed; date-corrected-from-source; single-source,matches seed 2005-09-06 Jacqueline Perry (name),2018-09-08
2018-07-01,model,Drowning,Oxford County,other,Andre Bourgeois,57,Andre Bourgeois drowned over the Canada Day weekend at an Oxford County campground.,1,https://www.woodstocksentinelreview.com/news/local-news/man-57-identified-in-oxford-county-campground-drowning,1,,single-source,,2018-07-01
2018-07-01,model,Drowning,Silver Lake Provincial Park,provincial-park,,26,A 26-year-old man drowned after jumping from a canoe at Silver Lake Provincial Park.,4,https://ottawacitizen.com/news/man-drowns-silver-lake | https://www.cbc.ca/news/canada/ottawa/swimmer-drowns-in-silver-lake-after-jumping-from-canoe-1.7611045 | https://www.rmoutlook.com/ontario-news/26-year-old-man-dead-after-drowning-in-silver-lake-provincial-park-opp-11086914 | https://www.ctvnews.ca/ottawa/article/swimmer-drowns-in-silver-lake-after-jumping-out-of-canoe/,4,location+text,date-uncertain,,2018-07-01; 2024-08-16; 2025-07-21; 2026-07-27
2018-07-03,url-path,Drowning,East Zorra-Tavistock,other,,,"Two men drowned in separate incidents over Canada Day weekend in Ontario, with one being found unresponsive in East Zorra-Tavistock.",1,https://chatnewstoday.ca/2018/07/03/two-men-dead-in-separate-weekend-drownings-in-ontario/,1,,location-unconfirmed; single-source,,2018-07-02
2018-09-01,model,Drowning,Puslinch,other,,,"A man drowned at a campground in Puslinch, Ontario.",1,https://www.guelphtoday.com/local-news/man-drowned-in-puslinch-camp-ground-opp-1034022,1,,single-source,,2018-09-01
2019-07-10,url-path,Drowning,"Grotto, Bruce Peninsula",other,,24,The body of a 24-year-old man was recovered from the Bruce Peninsula National Park after going missing the previous day.,2,https://brucepeninsulapress.com/2019/07/10/drowned-swimmers-body-found-at-grotto-man-pulled-from-water-at-southampton-pronounced-deceased/ | https://lfpress.com/news/local-news/woman-28-dead-after-being-pulled-from-london-backyard-pool,2,location+age,,,2019-07-07; 2019-07-14
2019-07-21,model,Drowning,North Beach Provincial Park,provincial-park,Muhammad Azmat,25,Muhammad Azmat drowned at North Beach Provincial Park while swimming with friends.,4,https://www.narcity.com/toronto/two-drownings-at-an-ontario-beach-happened-on-sunday-afternoon-suspect-police | https://www.intelligencer.ca/news/two-men-drown-at-north-beach/ | https://www.kingstonist.com/news/drowning-north-beach/ | https://globalnews.ca/news/7220842/drowning-deaths-north-beach-provincial-park/,3,location+text,date-uncertain,,2019-07-21; 2020-06-27; 2023-07-02
2019-07-21,model,Falling Tree,Algonquin Provincial Park,provincial-park,,,A 26-year-old Michigan man was killed when a tree fell on his tent during a storm in Algonquin Provincial Park.,1,https://www.theglobeandmail.com/news/national/ontario-quebec-cleaning-up-after-savage-storm/article20414693/,1,,location-unconfirmed; single-source,,2019-07-21
2019-09-04,url-path,Bear Attack,Algonquin Provincial Park,provincial-park,,62,A 62-year-old woman died on an island in Rainy Lake following what appears to be a bear attack.,7,https://www.boreal.org/2019/09/04/282631/woman-62-dies-on-northwestern-ontario-island-after-evident-bear-attack-police-say | https://www.thestar.com/news/canada/woman-dead-after-bear-attack-in-northwestern-ontario-opp-says/article_2b666ac6-29b7-5748-8921-906211977074.html | https://oodmag.com/opp-investigates-fatality-as-possible-bear-attack/ | https://globalnews.ca/news/5855076/northern-ontario-cottage-country-bear-attack-victim-idd-by-police/ | https://www.sudbury.com/local-news/police-and-mnrf-investigating-fatal-black-bear-attack-1674576 | https://www.sootoday.com/around-ontario/canada-woman-fatally-mauled-by-bear-in-northwestern-ontario-1671459 | https://www.cp24.com/news/2019/09/04/american-woman-identified-as-victim-of-bear-attack-on-remote-ontario-island/,2,date+unverified-location,location-unconfirmed,,2019-07-20; 2019-09-03
2020-06-26,model,Drowning,Wheatley Provincial Park,provincial-park,David Josue Mendez-Ramirez,24,A migrant worker drowned near Wheatley Provincial Park while swimming.,2,https://windsorstar.com/news/local-news/opp-identify-drowning-victim | https://windsorstar.com/news/local-news/tribute-gathering-held-for-guatemalan-worker-who-drowned-near-wheatley,1,,,,2020-06-26
